Ticket_no,Customer complaints,Date,Date_month_year,Time,Received via,City,State,Zip,Status,Filling on behalf of someone
250635,Comcast Cable Internet Speeds,2015-04-22,22 April 2015,15:53:50,Customer Care Call,Abingdon,Maryland,21009,Closed,No
223441,Payment disappear - service got disconnected,2015-08-04,04 August 2015,10:22:56,Internet,Acworth,Georgia,30102,Closed,No
242732,Speed and Service,2015-04-18,18 April 2015,09:55:47,Internet,Acworth,Georgia,30101,Closed,Yes
277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,2015-07-05,05 July 2015,11:59:35,Internet,Acworth,Georgia,30101,Open,Yes
307175,Comcast not working and no service to boot,2015-05-26,26 May 2015,13:25:26,Internet,Acworth,Georgia,30101,Solved,No
338519,ISP Charging for arbitrary data limits with overage fees,2015-12-06,06 December 2015,21:59:40,Internet,Acworth,Georgia,30101,Solved,No
361148,Throttling service and unreasonable data caps,2015-06-24,24 June 2015,10:13:55,Customer Care Call,Acworth,Georgia,30101,Pending,No
359792,Comcast refuses to help troubleshoot and correct my service.,2015-06-23,23 June 2015,18:56:14,Internet,Adrian,Michigan,49221,Solved,No
318072,Comcast extended outages,2015-01-06,06 January 2015,23:46:30,Customer Care Call,Alameda,California,94502,Closed,No
371214,Comcast Raising Prices and Not Being Available To Ask Why,2015-06-28,28 June 2015,18:46:31,Customer Care Call,Alameda,California,94501,Open,Yes
255938,Billing after service was asked to be disconnected,2015-04-24,24 April 2015,16:40:36,Internet,Albuquerque,New Mexico,87106,Closed,No
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,2015-06-05,05 June 2015,15:09:49,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No
339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,2015-06-13,13 June 2015,16:03:18,Internet,Albuquerque,New Mexico,87105,Open,Yes
360178,Internet speed,2015-06-23,23 June 2015,21:23:23,Internet,Albuquerque,New Mexico,87113,Solved,No
376268,Internet Disconnects Every Night,2015-06-30,30 June 2015,22:30:02,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No
370137,Internet complaint,2015-06-27,27 June 2015,15:25:03,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No
